Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
,Robinson's Seabream,Gymnocranius grandoculis,17,23,92,123,109,125,85%
,Spangled Emperor,Lethrinus nebulosus,"1,594",493,"3,197","1,106","4,791","1,402",67%
,Yellowtail Emperor,Lethrinus atkinsoni,0,0,182,145,182,145,100%
,Emperors,Lethrinidae - undifferentiated,12,15,23,30,35,45,67%
Flatheads,Northern Sand Flathead,Platycephalus endrachtensis,39,37,36,32,74,62,48%
,Yellowtail Flathead,Platycephalus westraliae,34,33,0,0,34,33,0%
,Flatheads,Platycephalidae - undifferentiated,105,77,8,10,113,79,7%
Giant Perch,Barramundi,Lates calcarifer,"1,450",440,"5,282","2,159","6,732","2,467",78%
Grunter Breams,Barred Javelin,Pomadasys kaakan,232,113,482,246,713,308,68%
,Blotched Javelin,Pomadasys maculatus,69,63,100,75,169,103,59%
,Grunter Bream,Haemulidae - undifferentiated,0,0,409,496,409,496,100%
,Painted Sweetlips,Diagramma labiosum,223,240,237,133,460,278,51%
Grunters,Western Sooty Grunter,Hephaestus jenkinsi,87,70,245,253,333,263,74%
Halfbeaks,Three-by-two Garfish,Hemiramphus robustus,216,296,20,27,236,297,8%
,Garfish,Hemiramphidae - undifferentiated,74,94,0,0,74,94,0%
,Longtom,Belonidae - undifferentiated,10,12,39,38,49,40,81%
Herrings,Herrings & Ilishas,"Clupeidae, Pristigasteridae - undifferentiated",728,714,314,402,"1,042",908,30%
Jewfish,Black Jewfish,Protonibea diacanthus,179,64,276,164,455,206,61%
King Snapper,Goldband Snapper,Pristipomoides multidens,233,121,83,98,317,170,26%
,Rosy Snapper,Pristipomoides filamentosus,5,7,64,85,69,85,93%
,Sharptooth Snapper,Pristipomoides typus,0,0,150,197,150,197,100%
Lizardfish,,"Bathysauridae, Synodontidae -",,,,,,,
,Lizardfishes & Grinners,,0,0,409,404,409,404,100%
,,undifferentiated,,,,,,,
,,,,,,,,,
Mackerels,Grey Mackerel,Scomberomorus semifasciatus,166,112,206,194,372,286,55%
,School Mackerel,Scomberomorus queenslandicus,723,293,676,308,"1,399",533,48%
,Shark Mackerel,Grammatorcynus bicarinatus,19,18,594,531,613,532,97%
,Spanish Mackerel,Scomberomorus commerson,"2,289",653,"1,873",709,"4,162","1,291",45%
,Spotted Mackerel,Scomberomorus munroi,48,46,0,0,48,46,0%
,Wahoo,Acanthocybium solandri,6,8,0,0,6,8,0%
,,Scombridae spp. (tribes Scomberomorini &,,,,,,,
,Mackerels,,0,0,13,12,13,12,100%
,,Scombrini),,,,,,,
,,,,,,,,,
Mahi Mahi,Mahi Mahi,Coryphaena spp.,0,0,4,5,4,5,100%
Mullets,Bluetail Mullet,Valamugil buchanani,"1,757","2,250","1,838","2,354","3,594","4,604",51%
,Diamondscale Mullet,Liza vaigiensis,238,306,15,19,253,307,6%
,Greenback Mullet,Liza subviridis,0,0,147,189,147,189,100%
,Sea Mullet,Mugil cephalus,708,442,650,618,"1,357",792,48%
,Mullets,Mugilidae - undifferentiated,999,596,0,0,999,596,0%
Pearl Perch,Northern Pearl Perch,Glaucosoma buergeri,64,52,123,100,187,124,66%
Pikes,Great Barracuda,Sphyraena barracuda,53,42,212,112,265,139,80%
,Yellowtail Barracuda,Sphyraena obtusata,14,19,146,85,160,87,91%
Pufferfish,Leatherjackets,Monacanthidae - undifferentiated,13,18,80,53,93,56,86%
,Silver Toadfish,Lagocephalus sceleratus,0,0,150,105,150,105,100%
,Toadfish,Tetraodontidae - undifferentiated,0,0,69,62,69,62,100%
Threadfins,Blue Threadfin,Eleutheronema tetradactylum,"1,961",599,"1,286",504,"3,247",855,40%
,King Threadfin,Polydactylus macrochir,"1,092",360,"1,439",919,"2,531","1,031",57%
Threadfin Breams,Rosy Threadfin Bream,Nemipterus furcosus,25,34,20,27,45,43,44%
Queenfish,Queenfish,Scomberoides spp.,418,236,612,203,"1,030",334,59%
Trevallies,Amberjack,Seriola dumerili,0,0,61,84,61,84,100%
,Bludger Trevally,Carangoides gymnostethus,41,52,"1,154",480,"1,194",491,97%
,Giant Trevally,Caranx ignobilis,238,122,"1,856",798,"2,093",841,89%
,Golden Trevally,Gnathanodon speciosus,698,386,"3,165","1,104","3,863","1,222",82%
,Turrum,Carangoides fulvoguttatus,0,0,75,59,75,59,100%
,Trevallies,Carangidae - undifferentiated,53,44,696,598,749,601,93%
Tripletail,Tripletail,Lobotes surinamensis,81,65,5,7,86,70,6%
Tropical Snappers,Brownstripe Snapper,Lutjanus vitta,273,294,87,86,360,339,24%
,Chinamanfish,Symphorus nematophorus,311,204,177,111,488,233,36%
,Crimson Snapper,Lutjanus erythropterus,964,326,"1,349",847,"2,313","1,044",58%
,Darktail Snapper,Lutjanus lemniscatus,243,155,288,141,531,272,54%
,Flame Snapper,Etelis coruscans,45,61,103,101,148,147,70%
,Red Emperor,Lutjanus sebae,"2,752",784,"2,372",885,"5,124","1,533",46%
,Saddletail Snapper,Lutjanus malabaricus,"1,903","1,170",865,556,"2,768","1,697",31%
,Stripey Snapper,Lutjanus carponotatus,"4,128","1,388","10,092","2,270","14,219","3,072",71%
,Moses' Snapper,Lutjanus russellii,467,206,675,318,"1,142",461,59%
,Mangrove Jack,Lutjanus argentimaculatus,"1,771",575,"1,852",643,"3,623","1,140",51%
,Golden Snapper,Lutjanus johnii,"1,798",619,"2,692","1,186","4,490","1,721",60%
,Tropical Snappers,Lutjanus spp.,121,130,241,180,362,230,67%
,Maori Snapper,Lutjanus rivulatus,35,31,0,0,35,31,0%
,Ruby Snapper,Etelis boweni,4,5,31,29,35,32,88%
Tunas,Mackerel Tuna,Euthynnus affinis,65,36,617,285,682,288,90%
,Skipjack Tuna,Katsuwonus pelamis,0,0,86,70,86,70,100%
,Southern Bluefin Tuna,Thunnus maccoyii,16,22,0,0,16,22,0%
,Longtail Tuna,Thunnus tonggol,151,95,36,25,188,98,19%
,Yellowfin Tuna,Thunnus albacares,46,41,62,47,108,83,57%
,Tunas,Scombridae spp. (tribes Sardini & Thunnini),0,0,57,75,57,75,100%
,Dogtooth Tuna,Gymnosarda unicolor,45,44,0,0,45,44,0%
Whitings,Western Trumpeter Whiting,Sillago burrus,0,0,59,75,59,75,100%
,Goldenline Whiting,Sillago analis,503,421,43,37,546,430,8%
Wrasses,Blackspot Tuskfish,Choerodon schoenleinii,"1,470",417,"2,342","1,201","3,812","1,325",61%
,Blue Tuskfish,Choerodon cyanodus,311,104,944,491,"1,256",529,75%
,Bluebarred Parrotfish,Scarus ghobban spp. complex,0,0,88,96,88,96,100%
,Bluespotted Tuskfish,Choerodon cauteroma,54,42,118,97,172,114,69%
,Sunburnt Pigfish,Bodianus solatus,48,55,0,0,48,55,0%
,Purple Tuskfish,Choerodon cephalotes,78,107,10,13,88,108,11%
,Parrotfish,Scaridae - undifferentiated,0,0,86,112,86,112,100%
,Tuskfish,Choerodon spp.,14,19,34,32,49,37,71%
,Wrasses,Labridae - undifferentiated,0,0,113,105,113,105,100%
Crab,Sand Crab,Ovalipes spp.,0,0,181,193,181,193,100%
Eels,Eels,Order Anguilliformes - undifferentiated,0,0,36,28,36,28,100%
Tarpons,Tarpon,Megalops cyprinoides,95,125,18,18,113,126,16%
Opahs,Batfish,"Ephippidae, Drepaneidae - undifferentiated",0,0,73,63,73,63,100%
Archerfish,Archerfish,Toxotidae - undifferentiated,41,56,0,0,41,56,0%
Butterfish,Butterfish,Stromateidae - undifferentiated,39,54,69,61,108,98,64%
