Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Tailor,Tailor,Pomatomus saltatrix,"8,595","4,313","5,022","1,912","13,617","5,431",37%
Threadfin Breams,Western Butterfish,Pentapodus vitta,"2,543","1,841","23,683","6,497","26,226","6,929",90%
Trevalla,Blue-eye Trevalla,Hyperoglyphe antarctica,202,174,0,0,202,174,0%
Trevallies,Amberjack,Seriola dumerili,37,35,217,157,254,167,85%
,Giant Trevally,Caranx ignobilis,66,91,0,0,66,91,0%
,Golden Trevally,Gnathanodon speciosus,0,0,79,108,79,108,100%
,Samsonfish,Seriola hippos,720,179,"4,510","1,119","5,230","1,151",86%
,Silver Trevallies,Pseudocaranx georgianus spp. complex,"32,272","9,440","15,468","3,296","47,740","10,721",32%
,Yellowtail Kingfish,Seriola lalandi,778,376,208,162,986,455,21%
,Yellowtail Scad,Trachurus novaezelandiae,421,306,"2,359","2,142","2,780","2,178",85%
,Trevallies,Carangidae - undifferentiated,0,0,266,363,266,363,100%
Tripletail,Tripletail,Lobotes surinamensis,0,0,131,162,131,162,100%
Tropical Snappers,Chinamanfish,Symphorus nematophorus,32,43,11,14,42,58,25%
,Darktail Snapper,Lutjanus lemniscatus,13,18,0,0,13,18,0%
,Flame Snapper,Etelis coruscans,20,27,0,0,20,27,0%
,Red Emperor,Lutjanus sebae,136,76,86,86,222,149,39%
,Stripey Snapper,Lutjanus carponotatus,69,61,15,20,84,64,17%
,Moses' Snapper,Lutjanus russellii,0,0,25,25,25,25,100%
,Mangrove Jack,Lutjanus argentimaculatus,52,51,21,29,73,59,29%
,Tropical Snappers,Lutjanus spp.,0,0,73,77,73,77,100%
,Ruby Snapper,Etelis boweni,46,45,0,0,46,45,0%
Western Blue Devil,Western Blue Devil,Paraplesiops sinclairi,0,0,85,69,85,69,100%
Tunas,Mackerel Tuna,Euthynnus affinis,89,56,166,189,254,200,65%
,Skipjack Tuna,Katsuwonus pelamis,682,234,"1,319",792,"2,001",842,66%
,Southern Bluefin Tuna,Thunnus maccoyii,"1,222",486,191,142,"1,413",551,14%
,Longtail Tuna,Thunnus tonggol,220,143,245,283,465,363,53%
,Yellowfin Tuna,Thunnus albacares,458,212,685,533,"1,143",646,60%
,Tunas,Scombridae spp. (tribes Sardini & Thunnini),85,82,57,60,142,129,40%
Whitings,King George Whiting,Sillaginodes punctatus,"30,434","5,605","12,869","4,918","43,303","9,546",30%
,Western Trumpeter Whiting,Sillago burrus,705,675,"3,302","1,553","4,006","1,693",82%
,Yellowfin Whiting,Sillago schomburgkii,"36,852","10,794","6,711","2,580","43,562","12,424",15%
,Southern School Whiting,Sillago bassensis,"95,430","18,223","21,233","5,492","116,663","22,424",18%
,Western School Whiting,Sillago vittata,"110,493","32,254","24,430","11,195","134,923","41,507",18%
,Whitings,Sillaginidae - undifferentiated,"2,223","2,046",319,234,"2,541","2,164",13%
Wrasses,Baldchin Groper,Choerodon rubescens,"18,175","2,344","8,506","1,701","26,681","3,647",32%
,Bluebarred Parrotfish,Scarus ghobban spp. complex,412,290,603,523,"1,015",752,59%
,Brownspotted Wrasse,Notolabrus parilus,"1,563",632,"15,542","2,988","17,105","3,141",91%
,Foxfish,Bodianus frenchii,"1,240",454,552,219,"1,792",530,31%
,Southern Maori Wrasse,Ophthalmolepis lineolatus,"1,621",911,"6,708","2,604","8,328","2,889",81%
,Western Blue Groper,Achoerodus gouldii,190,134,173,167,363,266,48%
,Western King Wrasse,Coris auricularis,"7,691","2,191","28,046","4,392","35,738","5,528",78%
,Parrotfish,Scaridae - undifferentiated,463,373,"1,122",585,"1,585",798,71%
,Tuskfish,Choerodon spp.,30,29,0,0,30,29,0%
,Wrasses,Labridae - undifferentiated,622,366,"3,884","1,694","4,506","1,760",86%
Wreckfish,Bass Groper,Polyprion americanus,81,51,0,0,81,51,0%
,Hapuku,Polyprion oxygeneios,270,188,13,18,283,196,5%
Crab,Sand Crab,Ovalipes spp.,0,0,56,78,56,78,100%
Freshwater crayfish,Marron,Cherax cainii,463,503,113,155,576,570,20%
Prawns,Prawns,Penaeidae - undifferentiated,"7,254","5,156",0,0,"7,254","5,156",0%
Eels,Conger Eel,"Congridae, Colocongridae - undifferentiated",0,0,41,56,41,56,100%
,Eels,Order Anguilliformes - undifferentiated,0,0,187,83,187,83,100%
Morid Cods,Morid Cod,Moridae - undifferentiated,115,157,92,126,207,283,44%
Opahs,Batfish,"Ephippidae, Drepaneidae - undifferentiated",0,0,22,30,22,30,100%
Boarfish,Boarfish,Pentacerotidae - undifferentiated,87,63,0,0,87,63,0%
Butterfish,Butterfish,Stromateidae - undifferentiated,263,221,"3,231","2,166","3,494","2,209",92%
Freshwater Perch,Redfin,Perca fluviatilis,624,678,0,0,624,678,0%
Knifejaw,Knifejaw,Oplegnathus woodwardi,25,28,137,163,162,165,85%
