Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
,Tomato Rockcod,Cephalopholis sonnerati,468,152,266,117,734,196,36%
,Yellowspotted Rockcod,Epinephelus areolatus,"1,251",559,"1,254",552,"2,506",800,50%
,Temperate Basses & Rockcods,"Percichthyidae, Serranidae - undifferentiated",504,275,"4,051","1,299","4,555","1,415",89%
Coral Trout,Barcheek Coral Trout,Plectropomus maculatus,"1,805",425,"1,251",503,"3,056",802,41%
,Common Coral Trout,Plectropomus leopardus,"3,087",527,"2,467",685,"5,554","1,018",44%
,Yellowedge Coronation Trout,Variola louti,299,115,262,161,561,209,47%
Emperors,Bluespotted Emperor,Lethrinus punctulatus,685,294,"1,909","1,452","2,594","1,529",74%
,Grass Emperor,Lethrinus laticaudis,"19,911","4,598","38,345","10,158","58,256","13,695",66%
,Longnose Emperor,Lethrinus olivaceus,353,156,371,433,725,493,51%
,Redspot Emperor,Lethrinus lentjan,15,19,104,100,119,111,88%
,Redthroat Emperor,Lethrinus miniatus,"9,534","2,395","14,296","5,180","23,830","6,795",60%
,Robinson's Seabream,Gymnocranius grandoculis,"2,008",619,583,444,"2,591",822,22%
,Spangled Emperor,Lethrinus nebulosus,"8,119","1,450","12,376","3,037","20,495","3,913",60%
,Yellowtail Emperor,Lethrinus atkinsoni,45,42,"1,026",978,"1,071",984,96%
,Emperors,Lethrinidae - undifferentiated,12,15,49,38,61,51,81%
Flatheads,Northern Sand Flathead,Platycephalus endrachtensis,112,68,241,236,353,284,68%
,Southern Bluespotted Flathead,Platycephalus speculator,"3,486",789,"9,863","2,994","13,349","3,389",74%
,Yellowtail Flathead,Platycephalus westraliae,"1,511",548,"7,640","2,970","9,152","3,140",83%
,Flatheads,Platycephalidae - undifferentiated,"1,300",465,"8,317","3,871","9,617","4,141",86%
Flatfish,Smalltooth Flounder,Pseudorhombus jenynsii,282,117,272,130,555,196,49%
,Flounders,"Bothidae, Psettodidae & Pleuronectidae",429,158,183,138,612,210,30%
Giant Perch,Barramundi,Lates calcarifer,"1,450",441,"5,282","2,164","6,732","2,472",78%
,Sand Bass,Psammoperca waigiensis,93,109,142,122,235,164,60%
Goatfish,Bluespotted Goatfish,Upeneichthys vlamingii,818,412,"2,121",763,"2,938",883,72%
Grunter Breams,Barred Javelin,Pomadasys kaakan,269,124,646,294,915,371,71%
,Blotched Javelin,Pomadasys maculatus,69,63,153,104,222,126,69%
,Grunter Bream,Haemulidae - undifferentiated,18,24,427,497,445,498,96%
,Painted Sweetlips,Diagramma labiosum,"1,894",706,"1,482",664,"3,376","1,199",44%
Grunters,Sea Trumpeter,Pelsartia humeralis,"1,124",784,"17,113","4,573","18,236","5,017",94%
,Western Striped Grunter,Pelates octolineatus,288,341,"4,162","1,737","4,449","1,770",94%
,Striped Grunter,Terapontidae - undifferentiated,256,349,839,560,"1,095",660,77%
,Western Sooty Grunter,Hephaestus jenkinsi,87,70,245,253,333,263,74%
Gurnards,Bighead Gurnard Perch,Neosebastes pandus,484,362,"2,031",804,"2,515",923,81%
,Gurnard Perch,Neosebastidae - undifferentiated,216,139,"1,477",624,"1,693",647,87%
Halfbeaks,Southern Garfish,Hyporhamphus melanochir,"1,343",768,589,336,"1,933",886,30%
,Three-by-two Garfish,Hemiramphus robustus,"1,434","1,285",20,27,"1,454","1,285",1%
,Garfish,Hemiramphidae - undifferentiated,718,669,42,57,760,671,5%
,Longtom,Belonidae - undifferentiated,76,64,179,87,255,121,70%
Herrings,Australian Sardine,Sardinops sagax,144,151,0,0,144,151,0%
,Herrings & Ilishas,"Clupeidae, Pristigasteridae - undifferentiated","5,466","5,439",703,532,"6,169","5,756",11%
Jewfish,Black Jewfish,Protonibea diacanthus,187,65,276,164,463,206,60%
,Mulloway,Argyrosomus japonicus,350,163,604,424,954,472,63%
King Snapper,Goldband Snapper,Pristipomoides multidens,"4,827","1,441",360,187,"5,186","1,495",7%
,Rosy Snapper,Pristipomoides filamentosus,319,189,260,219,579,339,45%
,Sharptooth Snapper,Pristipomoides typus,79,108,189,205,268,232,71%
Lizardfish,,"Bathysauridae, Synodontidae -",,,,,,,
,Lizardfishes & Grinners,,26,36,847,623,873,626,97%
,,undifferentiated,,,,,,,
,,,,,,,,,
,Sergeant Baker,Latropiscis purpurissatus,"1,270",320,"3,438",698,"4,708",798,73%
Mackerels,Blue Mackerel,Scomber australasicus,"1,149",902,610,304,"1,759","1,029",35%
,Grey Mackerel,Scomberomorus semifasciatus,355,211,457,308,812,476,56%
,School Mackerel,Scomberomorus queenslandicus,"1,589",662,"1,043",374,"2,632",923,40%
,Shark Mackerel,Grammatorcynus bicarinatus,275,180,"1,050",593,"1,325",622,79%
,Spanish Mackerel,Scomberomorus commerson,"6,241","1,224","4,344","1,495","10,585","2,362",41%
,Spotted Mackerel,Scomberomorus munroi,175,86,171,118,347,145,49%
,Wahoo,Acanthocybium solandri,139,75,170,106,309,141,55%
,,Scombridae spp. (tribes Scomberomorini &,,,,,,,
,Mackerels,,82,112,89,61,171,128,52%
,,Scombrini),,,,,,,
,,,,,,,,,
Mahi Mahi,Mahi Mahi,Coryphaena spp.,461,246,139,122,600,283,23%
Morwongs,Blue Morwong,Nemadactylus valenciennesi,"3,879",634,"1,130",427,"5,008",876,23%
,Dusky Morwong,Dactylophora nigricans,0,0,34,42,34,42,100%
,Morwongs,Cheilodactylidae - undifferentiated,18,24,145,182,162,184,89%
Mullets,Bluetail Mullet,Valamugil buchanani,"1,757","2,251","1,838","2,355","3,594","4,607",51%
,Diamondscale Mullet,Liza vaigiensis,238,306,15,19,253,308,6%
,Greenback Mullet,Liza subviridis,0,0,147,189,147,189,100%
,Sea Mullet,Mugil cephalus,"1,717","1,241",689,620,"2,406","1,406",29%
,Yelloweye Mullet,Aldrichetta forsteri,39,54,100,80,139,96,72%
,Mullets,Mugilidae - undifferentiated,"3,219","1,844",0,0,"3,219","1,844",0%
Pearl Perch,Northern Pearl Perch,Glaucosoma buergeri,851,343,170,108,"1,021",371,17%
,West Australian Dhufish,Glaucosoma hebraicum,"21,595","2,169","21,915","2,738","43,510","4,554",50%
Pikes,Great Barracuda,Sphyraena barracuda,62,43,478,170,539,189,89%
,Pike,Sphyraenidae - undifferentiated,"1,914","1,475",349,224,"2,263","1,516",15%
,Snook,Sphyraena novaehollandiae,"3,470","1,773","2,065",852,"5,535","2,202",37%
,Yellowtail Barracuda,Sphyraena obtusata,555,396,224,110,778,418,29%
Pufferfish,Horseshoe Leatherjacket,Meuschenia hippocrepis,403,191,564,223,968,294,58%
,Sixspine Leatherjacket,Meuschenia freycineti,170,93,769,392,939,403,82%
,Leatherjackets,Monacanthidae - undifferentiated,387,146,"3,703","2,223","4,091","2,237",91%
,Silver Toadfish,Lagocephalus sceleratus,0,0,897,279,897,279,100%
,Weeping Toadfish,Torquigener pleurogramma,0,0,"6,161","1,898","6,161","1,898",100%
,Toadfish,Tetraodontidae - undifferentiated,0,0,"16,014","4,428","16,014","4,428",100%
Redfish,Bight Redfish,Centroberyx gerrardi,"8,987","2,872","2,300",748,"11,287","3,222",20%
,Swallowtail,Centroberyx lineatus,665,243,437,179,"1,102",376,40%
,Yelloweye Redfish,Centroberyx australis,73,96,224,181,297,270,75%
Salmon Herrings,Australian Herring,Arripis georgianus,"150,256","31,546","39,949","8,319","190,206","35,194",21%
,Western Australian Salmon,Arripis truttaceus,"1,654",653,"3,602","1,563","5,256","1,832",69%
Sweeps,Banded Sweep,Scorpis georgiana,167,93,932,618,"1,099",625,85%
,Sea Sweep,Scorpis aequipinnis,738,238,769,371,"1,507",445,51%
,Silver Drummer,Kyphosus sydneyanus,64,59,186,136,250,148,74%
Tailor,Tailor,Pomatomus saltatrix,"8,875","4,318","5,361","1,935","14,236","5,445",38%
Threadfins,Blue Threadfin,Eleutheronema tetradactylum,"1,961",599,"1,286",505,"3,247",856,40%
,King Threadfin,Polydactylus macrochir,"1,092",360,"1,439",919,"2,531","1,032",57%
Threadfin Breams,Rosy Threadfin Bream,Nemipterus furcosus,43,42,301,298,344,301,87%
,Western Butterfish,Pentapodus vitta,"8,946","7,233","26,502","6,627","35,447","9,958",75%
Trevalla,Blue-eye Trevalla,Hyperoglyphe antarctica,377,217,0,0,377,217,0%
Queenfish,Queenfish,Scomberoides spp.,669,369,"1,110",608,"1,778",914,62%
Trevallies,Amberjack,Seriola dumerili,69,47,396,240,464,248,85%
,Bludger Trevally,Carangoides gymnostethus,112,70,"1,446",513,"1,558",526,93%
,Common Dart,Trachinotus botla,0,0,28,30,28,30,100%
,Giant Trevally,Caranx ignobilis,336,154,"2,888","1,255","3,224","1,286",90%
,Golden Trevally,Gnathanodon speciosus,"1,252",426,"5,328","1,837","6,580","1,956",81%
,Rainbow Runner,Elagatis bipinnulata,20,28,0,0,20,28,0%
,Samsonfish,Seriola hippos,926,219,"4,827","1,133","5,753","1,175",84%
,Silver Trevallies,Pseudocaranx georgianus spp. complex,"34,704","9,480","20,404","3,805","55,109","10,977",37%
,Turrum,Carangoides fulvoguttatus,20,27,88,61,108,67,82%
,Yellowtail Kingfish,Seriola lalandi,903,389,413,204,"1,315",485,31%
,Yellowtail Scad,Trachurus novaezelandiae,751,471,"3,225","2,207","3,976","2,270",81%
,Trevallies,Carangidae - undifferentiated,53,44,"1,955","1,332","2,008","1,333",97%
Tripletail,Tripletail,Lobotes surinamensis,104,72,136,162,240,180,57%
Tropical Snappers,Brownstripe Snapper,Lutjanus vitta,363,310,95,87,458,354,21%
,Chinamanfish,Symphorus nematophorus,641,326,205,115,847,348,24%
,Crimson Snapper,Lutjanus erythropterus,"1,058",336,"1,349",849,"2,407","1,050",56%
,Darktail Snapper,Lutjanus lemniscatus,277,157,288,141,565,273,51%
,Flame Snapper,Etelis coruscans,226,175,103,101,330,220,31%
,Red Emperor,Lutjanus sebae,"6,264","1,755","5,363","3,018","11,627","4,649",46%
,Saddletail Snapper,Lutjanus malabaricus,"2,061","1,176",865,558,"2,925","1,704",30%
,Stripey Snapper,Lutjanus carponotatus,"6,600","1,582","13,580","2,765","20,179","3,717",67%
,Moses' Snapper,Lutjanus russellii,856,322,845,346,"1,701",577,50%
,Mangrove Jack,Lutjanus argentimaculatus,"2,116",608,"1,972",648,"4,088","1,167",48%
,Golden Snapper,Lutjanus johnii,"1,798",619,"2,692","1,187","4,490","1,722",60%
,Tropical Snappers,Lutjanus spp.,136,132,314,196,450,244,70%
,Maori Snapper,Lutjanus rivulatus,35,31,0,0,35,31,0%
,Ruby Snapper,Etelis boweni,"1,232",430,130,80,"1,362",455,10%
Western Blue Devil,Western Blue Devil,Paraplesiops sinclairi,31,32,160,99,191,104,84%
Tunas,Mackerel Tuna,Euthynnus affinis,223,82,"1,141",406,"1,364",418,84%
,Skipjack Tuna,Katsuwonus pelamis,777,240,"1,676",824,"2,453",878,68%
,Southern Bluefin Tuna,Thunnus maccoyii,"1,700",531,418,231,"2,118",624,20%
,Longtail Tuna,Thunnus tonggol,418,174,338,287,756,381,45%
,Yellowfin Tuna,Thunnus albacares,"1,043",301,917,544,"1,960",697,47%
,Tunas,Scombridae spp. (tribes Sardini & Thunnini),143,90,157,101,300,159,52%
,Dogtooth Tuna,Gymnosarda unicolor,45,44,0,0,45,44,0%
Whitings,King George Whiting,Sillaginodes punctatus,"67,195","11,571","24,441","6,409","91,636","16,105",27%
,Western Trumpeter Whiting,Sillago burrus,"1,701","1,520","4,045","1,657","5,745","2,248",70%
,Yellowfin Whiting,Sillago schomburgkii,"44,013","11,153","8,335","2,697","52,348","12,876",16%
,Goldenline Whiting,Sillago analis,503,421,102,89,605,438,17%
,Southern School Whiting,Sillago bassensis,"106,064","18,869","26,388","6,038","132,452","23,480",20%
,Western School Whiting,Sillago vittata,"110,748","32,276","24,481","11,198","135,229","41,530",18%
,Whitings,Sillaginidae - undifferentiated,"2,242","2,046",479,266,"2,721","2,168",18%
Wrasses,Baldchin Groper,Choerodon rubescens,"19,998","2,526","11,000","3,115","30,998","5,015",35%
,Blackspot Tuskfish,Choerodon schoenleinii,"2,032",475,"3,295","1,359","5,328","1,512",62%
,Blue Tuskfish,Choerodon cyanodus,"1,278",879,"2,171",915,"3,449","1,355",63%
,Bluebarred Parrotfish,Scarus ghobban spp. complex,432,291,775,538,"1,207",763,64%
,Bluespotted Tuskfish,Choerodon cauteroma,352,296,"1,307",783,"1,659",860,79%
,Brownspotted Wrasse,Notolabrus parilus,"2,452","1,064","20,672","3,481","23,123","3,873",89%
,Foxfish,Bodianus frenchii,"1,408",461,755,309,"2,163",579,35%
,Sunburnt Pigfish,Bodianus solatus,303,142,6,6,310,142,2%
,Purple Tuskfish,Choerodon cephalotes,78,107,25,23,103,110,24%
,Southern Maori Wrasse,Ophthalmolepis lineolatus,"1,706",916,"7,612","2,648","9,318","2,939",82%
,Western Blue Groper,Achoerodus gouldii,446,170,184,168,630,287,29%
,Western King Wrasse,Coris auricularis,"7,991","2,199","32,596","4,979","40,587","6,020",80%
,Parrotfish,Scaridae - undifferentiated,481,374,"1,271",602,"1,752",811,73%
,Tuskfish,Choerodon spp.,57,39,152,164,209,169,73%
,Wrasses,Labridae - undifferentiated,636,366,"4,520","1,755","5,155","1,819",88%
Wreckfish,Bass Groper,Polyprion americanus,117,66,0,0,117,66,0%
,Hapuku,Polyprion oxygeneios,774,307,13,18,787,311,2%
Crab,Sand Crab,Ovalipes spp.,122,157,237,208,360,260,66%
Freshwater crayfish,Marron,Cherax cainii,463,503,113,155,576,571,20%
Prawns,Prawns,Penaeidae - undifferentiated,"8,186","5,249",0,0,"8,186","5,249",0%
Eels,Conger Eel,"Congridae, Colocongridae - undifferentiated",0,0,41,56,41,56,100%
,Eels,Order Anguilliformes - undifferentiated,0,0,265,96,265,96,100%
Tarpons,Tarpon,Megalops cyprinoides,95,125,18,18,113,127,16%
Morid Cods,Morid Cod,Moridae - undifferentiated,115,157,92,126,207,283,44%
Opahs,Batfish,"Ephippidae, Drepaneidae - undifferentiated",0,0,95,70,95,70,100%
Archerfish,Archerfish,Toxotidae - undifferentiated,41,56,0,0,41,56,0%
Boarfish,Boarfish,Pentacerotidae - undifferentiated,87,63,0,0,87,63,0%
Butterfish,Butterfish,Stromateidae - undifferentiated,302,228,"3,953","2,286","4,255","2,328",93%
Freshwater Perch,Redfin,Perca fluviatilis,"2,517","3,239",0,0,"2,517","3,239",0%
Knifejaw,Knifejaw,Oplegnathus woodwardi,25,28,"1,279","1,518","1,304","1,518",98%
Dories,Dories,Zeidae - undifferentiated,0,0,35,39,35,39,100%
