"title,""description"""
"4x4 fishing Esperance Fishing WA Series 3 Ep 4 Part 1,""4x4 fishing Esperance, Steve heads to Esperance for some salmon actions"","""""
"Heli Fishing ,"" Fishing WA Series 3 Ep 3 Part 2"""
"Heli Fishing,"""""
"Fishing Perth Gemini Wreck ,"" Fishing WA Series 3 Ep 3 Part 1"""
"Steve and Ian head out the one of Perth's favorite fishing grounds. The Gemini Wreck and get smashed by Samson fish.,"""""
"Carnarvon Bernie Islands Tuna ,"" Fishing WA Series 3 Ep 2 Part 3"""
"Carnarvon Bernie Islands Tuna,"""""
"Coral Bay Blue Marlin ,"" Fishing WA Series 3 Ep 2 Part 2"""
"Steve and Ian are still in Coral Bay but this time Ian is going all out to catch a Marlin,"""""
"Coral Bay land based fishing,"" Fishing WA   Series 3 Ep2 Part 1d"""
"Coral Bay land based fishing,"""""
"Highlights and outtakes Series 2 Ep 19,""Highlights and outtakes"""
"Monster Barramundi  Fishing WA Series 2 Ep 18 Part 3,""Steve and Ian in the Kimberley to catch a big Barramundi"""
"5Kg Tailor Shark Bay Series 2 Ep 18 Part 2,""Shark Bay Tailor Carnavon Creek"""
"Shark Bay Pink Snapper Fishing WA Series 2 Ep 18 Part 1,""Steve heads back to Shark Bay for some Pink Snapper action"""
"Crocodiles and Alligators Great Escape Fishing WA Series 2 Ep 17,""Ian and Steve are in the Kimberley catching some great fish while also catching up with Malcolm Douglas is Broome"""
"Broome Trippel tail Fishing WA Series 2 Ep 16B Full Show,""Broome Trippel tail Fishing WA Series 2 Ep 16B Full Show"""
"Kimberley Barramundi Magic Fishing WA Series 2 Ep 16 Part 1full Episode,""Steve and Ian are in the Kimberley for some big fish Action"""
"Biggest Tailor you probably ever see Fishing WA  Series 2 Ep 15 Part 2 Quobba Station Tailor,""Quobba Station Tailor"""
"Dirk Hartog Islands cobia,"" macks and more Fishing WA Series 2 Ep 15 Part 1 Dirk Hartog Island"""
"Steve goes out to Dirk Hartog Islands for some of WA's best fishing,"""""
"Mandurah Dhufish going off ,"" Fishing WA series 2 Ep 14"""
"Steve heads out of mandurah to get into Dhufish,"""""
"Fishing Kalbarri river ,"" Mangrove Jacks"""
" Bream,"" Fishing WA  Series 2 Ep 13 Part 2"""
"Steve gets some local knowledge on how to catch fish in the Murchison River,"""""
"Fishing Kalbarri Duhfish,""Balchin"""
"Sambo Fishing WA Series 2 Ep 13 Part1,""Steve is in Kalbarri showing how to catch the Duhfish and lots more"""
"Awesome Montebello Islands Fishing WA Series 2 Ep 12 Part 1,""Steve and Ian go to the Montebello Islands where the fishing is always awesome"""
"Local Perth Beach Fishing Fishing WA Series 2 Ep 12 Part 2,""Steve hits the local Perth Beaches to show how to catch Herring and whiting"""
"Monkey Mia Shark Bay Pink Snapper Fishing Western Australia Series 2 Ep 11 Part 2,""Steve is in Monkey Mia to catch the very tasty Pink Snapper"""
"Fishing the snags and dinosaur Queenies Fishing Western Australia Series 2 Ep 11 Part 1,""Ian and Steve are stuffed after this effort"""
"Permit on fly Fishing Western Australia Series 2 Ep 10 Part 2,""Ian is on the Great Escape in the Kimberley trying to catch Permit on fly"""
"Coral Trout Fishing Western Australia Series 2 Ep 10 Part 1,""Steve and Ian are at the Rowley Shoals catching Coral Trout"""
"Monster Queenies in the Kimberley Fishing Western Australia Series 2 Ep 8 Part 2,""Monster Queenies"""
"Swan River Flathead Fishing Western Australia Series 2 Ep 8 Part 1,""Steve tackles the swan river for flathead"""
"Amazing Coral Bay Fishing Western Australia Series 2 Ep 7 Part 2,""Amazing Coral Bay"""
"Amazing Coral Bay Fishing Western Australia Series 2 Ep 7 Part 1,""Amazing Coral Bay"""
"Deadly Sea Snake Broome Fishing Western Australia Series 2 Ep 6 Part 2,""Deadly Sea Snake Broome"""
"Kevin Bloody Wilson goes bream fishing, Fishing Western Australia Series 2 Ep 6 Part 1,""Kevin Bloody Wilson goes bream fishing with Steve , Ian and Pommy Dave."","""""
"Point Samson Spanish Mackerel Fishing Western Australia Series 2 Ep 5 Part 2,""Steve and Ian are in Point Samson getting into Spanish Mackerel"""
"Beach fishing for tailor Fishing Western Australia Series 2 Ep 5 Part 1,""Steve and Bruce teach how to read the beach for the best chance of catching a tailor"""
"Best of Fishing Western Australia Series 14,""Best of Fishing Western Australia Series 14"""
"Perth Black Bream Fishing Western Australia Series 14 Ep 17 full Show,""Ryan takes a trip down the swan river for some Black Bream action"""
"Perth Octopus Fishing Western Australia Series 14 Ep 16,""Ryan and Harry go out to catch octopus"""
"Perth Dhufish and Pink Snapper on Jigs Fishing Western Australia Series 14 Ep15,""Ryan heads out of Mindarie for some awesome reef fish on jigs"""
"Mandurah Crabbing How to Fishing Western Australia Series 14 Ep 14 Full Show,""Harry and Ryan travel to Mandurah to get themselves a big feed of crabs."""
"Marron Harvey Dam How to Fishing Western Australia Series 14 Ep13 Full show,""Ryan heads to Harvey Dam to show everyone how to catch Marron"""
"WA Cray Fish All the tips and tricks Fishing Western Australia Series 14 Ep 12 Full Show,""Ryan shows all his tips and tricks to catch cray fish. Including what ground you should put your pots in."""
"Mandurah Estuary Whiting on Stick baits,"" Fishing Western Australia Series 14 Ep 11 Full Show"""
"Ryan shows how easy it is to catch whiting in the Mandurah Estuary,"""""
"Parmelia bank Cockburn sound Flathead ,"" KG's Fishing Western Australia Series 2 Ep 4 Full Show"""
"Steve heads out to where he first learnt how to fish from a boat .,"""""
"Salmon Fishing Bay of isles Esperance Fishing Western Australia Series 2 Ep 3 full show,""Steve and Ian of to Bay of isles Esperance for some Salmon fishing and also target Pink Snapper"""
"Shark Bay Monkey Mia Tailor Fishing Western Australia Series 2 Ep 2 Full Show,""Shark Bay,  Monkey Mia Tailor on lures,"""""
"Kimberley Barramundi ,"""""
"Fishing Western Australia Series 2 Ep 2"","""""
"Perth King George Whiting from shore Fishing Western Australia Series 2 Ep1 Full Show,""Steve goes back to basics and show how to catch King George Whiting from shore"""
"Montebello Islands Deep drop Reef fishing Fishing Western Australia Series 14 Ep10,""Harry and Ryan are at the Montebello Islands catching Deep sea reef fishing"""
"Exmouth Mud Crabs Fishing Western Australia Series 14 Ep 9 Full Show,""Watch Your fingers , Ryan and Corrigin farmer Kim hunt mud crabs on wilderness island"","""""
"Emouth Mangrove jacks Fishing Western Australia Series 14 Ep8 Full Show,""Harry and Ryan are on wilderless Islands off Exmouth catching tastie Mangrove jacks"""
"Broome Fly Fishing Fishing Western Australia Series 14 Ep7 Full Show,""Harry hates fly fishing but its one of Ryans loves. They are still in Broome chasing Mackerel and Tuna"""
"Broome Sailfish How to Fishing Western Australia Series 14 Full Show,""Harry and Ryan are in Broome hunting Sailfish. Harry tries to get his first sail fish but does he ?"""
"Exmouth Marlin and Sailfish Fishing WA Series 1 Ep 12,""Exmouth Marlin and Sailfish"""
"Port Hedland Fishing WA Series 1 Ep 9,""Steve and Ian hookup with a local Steve Jones for some Port Hedland action"""
"Monster Perth Tailor Fishing WA Series 1 Ep 8,""Steve heads out to do some rough conditions tailor"""
"yellowfin tuna fishing wa series 1 ep 7,""yellowfin tuna"""
"Swan River Perth  Fishing WA Series 1 Ep 10,""Steve and Ian travel up and down the swan to show how and where all the fish are in the Swan River Perth Western AUstralia"""
"Mud Crabs Fishing WA Series 1 Ep 11,""Mud Crabs"""
"Kalbarri Mulloway Fishing Western Australia Series 14 Ep 5,""Harry and Ryan are in there favorite place in WA , Kalbarri is the best fishing of the south and north and located just 600km from Perth. Well there is nothing better than getting onto some great Mulloway action."","""""
"Carnarvon Fishing WA Series 1 Ep 6,""Ian and Steve head out fishing with local Carnarvon fisho to the local man made FAD's"""
"Mackerel Islands Spanish Macherel Fishing WA Series 1 Ep 4,""Steve and Ian have a party with balloons and Spanish mackerels"""
"Exmouth Game Fishing ,"" Fishing WA Series 7 Ep 1Full Show"""
"Well this is the year Jacko and Nick joined Fishing Western Australia . Their first trip was to head north to Exmouth and chase some Marlin .,"""""
"Albany Whiting Fishing Western Australia Series 14 Ep 4 Full Show,""Ryan Down south in Albany catching some bread and butter fish , the yummy whiting and herring"","""""
"Fishing WA Series 3 Ep 1 Full Show,""Ian , Steve and Kurt using soft plastics for bream and also head uoto the Kimberley for some awsome sport fishing"","""""
"Rowley Shoals Fishing Western Australia series 1 Ep5 Full Show,""Marlin and Sailfish at the Rowley Shoals"""
"Perth Metro Squid Fishing Western Australia Series 14 Ep 3 Full Show,""Ryan heads out into local Perth water to get a great feed of squid"""
"Perth Whiting Fishing Western Australia Series 14 Ep 2 Full Show,""Harry and Ryan stay in close to get some mummy Perth Whiting"""
"Perth Mahi Mahi Fishing Western Australia Series 14 Ep 1 Full Show,""Harry and Ryan head out to the FAD's to take on the Mahi Mahi on light gear"""
"mackerel islands roslyn kaye , Queen Fish Fishing Western Australia Series 10 Episode 1,""mackerel islands roslyn kaye , Nick and Lisa get into the Queen Fish and Gold spot trevally"","""""
"Exmout Fishing Western Australia Series 1 Ep3 Full Show,""Steve and Ian go to Exmouth to target Spanish Macheral"""
"Fishing Western Australia Series 1 Episode 2,"""""
"Fishing Western Australia Series 10 Ep2,""Nick and Lisa"""
"Fishing Western Australia Series 14 Episode 05 Preview,""This episodes airs at 4.30pm on Sunday (date) on Channel 7 and GWN7."""
"Fishing Western Australia Series 14 Episode 04 Preview,""This episodes airs at 4.30pm on Sunday 22nd Dec 2013 on Channel 7 and GWN7."""
"Fishing Western Australia Series 14 Episode 03 Preview,""This episodes airs at 4.30pm on Sunday (date) on Channel 7 and GWN7."""
"Fishing Western Australia Series 14 Episode 2 Preview,""This episodes airs at 4.30pm on Sunday 8th Dec 2013 on Channel 7 and GWN7."""
"Fishing Western Australia Series 14 Episode 01 Preview,""This episodes airs at 4.30pm on Sunday 1st Dec 2013  on Channel 7 and GWN7."""
"Shark Fun,"""""
"Fishing Western Australia Series 1Episode 4 Full Show,"""""
"Flying Spanish Mackerel,""Spanish Mackerel are well known for there fight and also their jumping / flying ability"""
"Fishing Western Australia Series 1 Episode 3 Full Show,""Full Show of Series 1 episode 3"""
"Fishing Western Australia Series 13 Episode 18 Preview,""This episodes airs at 4.30pm on Sunday (date) on Channel 7 and GWN7.,"""""
"In the last episode of the series we have a look back at the highlights for the year. We also have thrown in some funny outtakes"","""""
"Fishing Western Australia Series 13 Episode 17 Preview,""This episodes airs at 4.00pm on Sunday 24th march on Channel 7 and GWN7.,"""""
"Well it never seems to end , everyone keeps asking Ryan about pink snapper. So for the last time here is Ryan fishing the pink snapper at night in Cockburn Sound"","""""
"Fishing Western Australia Series 13 Episode 16 Preview,""This episodes airs at 4.00pm on Sunday 17th March on Channel 7 and GWN7.,"""""
"Ryan is in the South West hunting for Salmon"","""""
"Fishing Western Australia Series 1 Episode 2 Full Show,"""""
"Fishing Western Australia Series 1 Episode 1 Full Show,""This episodes is the full episode"""
"Fishing Western Australia Series 13 Episode 15 Preview - Kimberley Part 3,""This episodes airs at 4.30pm on Sunday March 10th 2013 on Channel 7 and GWN7. The final part of our Kimberley adventure with the Great Escape Charter Company.,"""""
"If you missed this episode you can see it at www.fishingwa.com from Monday March 11th."","""""
"Fishing Western Australia Series 13 Episode 14 Preview - Kimberley Part 2,""This episodes airs at 4.30pm on Sunday March 3rd 2013 on Channel 7 and GWN7. This week the we are back in the Kimberley with Great Escape Charter Company,"""""
"If you missed this episode it will be available to watch at www.fishingwa.com from Monday March 4th."","""""
"Fishing Western Australia Series 13 Episode 13 Preview - Kimberley Barramundi Fishing,""This episodes airs at 4.30pm on Sunday 24th of February on Channel 7 and GWN7. This week the guys head up to the Kimberley and go fishing with The Great Escape Charters.,"""""
"To win a trip with Great Escape Charters head over to www.fishingwa.com,"""""
"If you missed this episode you can watch it at www.fishingwa.com/tv/ from Monday the 25th of February"","""""
"Fishing Western Australia Series 13 Episode 12 Preview - Super deep fishing,""This episodes airs at 4.30pm on Sunday February 17th on Channel 7 and GWN7.,"""""
"If you missed this episode you can watch it online at www.fishingwa.com from February 18th"","""""
"Fishing Western Australia Series 13 Episode 11 Preview - Coral Bay bottom fishing,""This episodes airs at 4.30pm on Sunday February 10th on Channel 7 and GWN7.,"""""
"If you missed this episode you can watch it in full from February 11th 2013 at www.fishingwa.com"","""""
"Fishing Western Australia Series 13 Episode 10 Preview - Coral Bay Marlin,""This episodes airs at 4.00pm on Sunday February 3rd on Channel 7 and GWN7."""
"Fishing Western Australia Series 13 Episode 9 Preview - Winter Wrecks,""This episodes airs at 4.30pm on Sunday 13th Jan 2013 on Channel 7 and GWN7."""
"Fishing Western Australia Series 13 Episode 8 Preview - Ruby,""This episodes airs at 4.30pm on Sunday 6th Jan 2013 on Channel 7 and GWN7."""
"Fishing Western Australia Series 13 Episode 7 Preview - Two Rocks,""This episodes airs at 4.30pm on Sunday 30th of December 2012 on Channel 7 and GWN7."""
